price,emirate,number,character
169000,dubai,3332,s
169000,abu-dhabi,1211,11
169000,abu-dhabi,5522,50
169000,dubai,941,f
169000,dubai,11117,t
169000,dubai,99998,q
169000,dubai,284,o
169000,abu-dhabi,5515,1
169000,dubai,66669,v
169000,dubai,71111,v
169000,dubai,21112,u
169000,dubai,66661,d
169000,dubai,77771,h
168000,dubai,831,g
168000,dubai,647,i
168000,dubai,796,t
168000,dubai,685,k
168000,dubai,643,n
168000,abu-dhabi,3331,14
167900,dubai,697,j
167900,dubai,249,p
167000,dubai,3303,r
166000,dubai,346,h
165000,dubai,15555,t
165000,dubai,963,l
165000,dubai,3334,i
165000,abu-dhabi,7100,1
165000,abu-dhabi,94000,1
165000,abu-dhabi,1313,11
165000,abu-dhabi,6055,1
165000,dubai,3321,v
165000,dubai,14444,n
165000,dubai,5055,k
165000,abu-dhabi,1811,18
165000,abu-dhabi,3131,11
165000,dubai,2300,j
165000,abu-dhabi,2022,5
165000,abu-dhabi,2333,50
163000,abu-dhabi,1181,10
163000,dubai,55551,s
163000,dubai,894,p
163000,dubai,982,n
163000,dubai,496,o
162000,abu-dhabi,7775,12
160000,abu-dhabi,6767,1
160000,abu-dhabi,12221,50
160000,abu-dhabi,5355,5
160000,abu-dhabi,1551,50
160000,ras-al-khaimah,234,i
160000,abu-dhabi,9333,5
160000,abu-dhabi,5999,12
160000,dubai,11911,q
159900,abu-dhabi,7677,1
159900,dubai,27000,m
159500,abu-dhabi,28282,2
159500,abu-dhabi,3323,6
159000,umm-al-quwain,126,i
159000,abu-dhabi,8787,18
159000,dubai,88889,t
159000,dubai,16000,e
159000,dubai,34444,h
159000,dubai,99995,g
158000,abu-dhabi,3210,20
157500,abu-dhabi,66655,6
155000,abu-dhabi,99299,2
155000,abu-dhabi,1060,6
155000,abu-dhabi,1500,18
155000,abu-dhabi,9966,50
155000,abu-dhabi,3233,2
155000,abu-dhabi,5454,15
155000,abu-dhabi,1011,15
155000,dubai,6667,p
155000,dubai,3433,b
155000,dubai,77877,t
155000,abu-dhabi,72222,6
155000,dubai,34111,r
155000,abu-dhabi,4545,20
155000,abu-dhabi,8889,18
155000,abu-dhabi,18881,11
155000,abu-dhabi,3070,1
155000,abu-dhabi,8111,18
155000,abu-dhabi,13331,13
155000,dubai,2552,c
155000,dubai,2332,t
153000,dubai,64444,d
153000,abu-dhabi,5333,6
153000,abu-dhabi,9229,50
150000,abu-dhabi,1004,50
150000,dubai,44404,e
150000,dubai,21221,a
150000,abu-dhabi,3999,19
150000,abu-dhabi,6226,6
150000,dubai,57575,m
150000,dubai,79777,b
150000,abu-dhabi,7333,10
150000,dubai,1444,l
150000,abu-dhabi,98889,9
150000,fujairah,371,a
150000,abu-dhabi,6766,6
150000,dubai,2030,o
150000,abu-dhabi,2900,1
150000,dubai,1171,v
150000,dubai,85777,e
150000,dubai,80808,p
150000,abu-dhabi,83338,1
150000,abu-dhabi,2242,6
150000,abu-dhabi,3114,10
150000,abu-dhabi,59000,6
150000,abu-dhabi,8848,6
150000,abu-dhabi,9888,1
150000,umm-al-quwain,27,x
150000,dubai,10900,a
150000,abu-dhabi,5553,11
150000,abu-dhabi,11511,15
150000,dubai,23233,m
150000,abu-dhabi,8800,13
150000,abu-dhabi,66444,6
150000,abu-dhabi,69000,15
150000,abu-dhabi,5500,10
150000,abu-dhabi,6696,5
150000,dubai,12468,r
149500,abu-dhabi,1661,16
149500,abu-dhabi,7117,16
149500,abu-dhabi,9889,16
149500,abu-dhabi,20020,20
149500,abu-dhabi,92999,1
149500,abu-dhabi,29999,6
149500,abu-dhabi,99966,1
149000,abu-dhabi,10100,50
149000,ras-al-khaimah,169,i
149000,abu-dhabi,23456,2
149000,abu-dhabi,3100,13
149000,dubai,77776,v
149000,dubai,1333,u
149000,dubai,96666,m
149000,abu-dhabi,8228,6
149000,dubai,33331,v
149000,dubai,9666,f
149000,dubai,1223,w
149000,dubai,8088,q
149000,dubai,8118,h
149000,abu-dhabi,5544,10
149000,dubai,7222,m
149000,abu-dhabi,2010,50
