Actual Price,Predicted Price
4900,6900.408
18000,23797.938
479000,511060.47
379000,339039.3
8000,4040.0815
4500,5053.845
15900,27391.424
27900,25889.662
9900,2275.389
12500,24685.076
23900,28314.309
15000,14771.963
11900,22226.365
14900,27985.277
4900,5113.626
45000,44312.656
35900,20300.582
8000,9781.967
8000,5868.657
9900,10185.65
3900,7447.995
3800,5159.5405
17000,15726.8955
26500,15413.489
55000,62070.58
12000,11911.438
3200,3945.8657
15500,13752.028
3200,3256.4292
2990,6548.5674
24500,23777.258
5500,7437.977
5500,33872.77
18500,26777.498
4900,4674.3325
6000,6769.4673
320000,331632.56
28000,30802.49
21900,28367.99
8000,7988.5347
2900,5444.887
35000,41063.035
8500,8664.339
6000,6220.9224
16500,16713.541
40000,29882.04
9900,15254.938
3500,2800.5994
3900,6622.848
18500,17468.559
14900,11994.973
27000,33648.496
20000,3744.0857
319000,379210.16
18900,20222.215
16900,16887.668
20435,11084.044
14500,16882.791
20900,19757.453
7000,7027.739
5000,4893.947
50000,43933.01
15000,16437.928
850000,513802.7
99000,96519.3
95000,95457.81
17500,32322.04
429000,450130.16
5900,5676.3286
29900,37877.848
15000,15327.523
30000,17507.338
12000,3601.6316
23000,20650.45
7000,14585.149
4500,4346.5654
7900,4656.768
75000,67278.67
29000,27533.8
2500,8755.83
16900,19937.572
65000,59466.133
40000,33571.188
9000,15525.0
525000,530761.75
4900,4297.209
13900,13976.085
29000,29352.117
8800,11830.478
7400,6562.943
9500,10224.184
90000,10333.651
4900,5406.0303
25000,16214.05
5500,3586.822
66900,64839.168
5000,64473.2
19500,24069.08
20000,17770.05
18900,22537.727
8999,8762.121
14900,17630.73
12000,11606.292
23900,20422.621
6500,6611.8145
6000,4483.536
59000,53861.594
3000,11530.208
